Unnamed: 0,authors,published_date,description,isbn_10,isbn_13,page_count,categories,maturity_rating,language,join_isbn_10
,['Bruce Clayton'],1998,The author discusses his childhood growing up in Kansas City,0826211895,9780826211897.0,284.0,['Biography & Autobiography'],NOT_MATURE,en,0826211895
,['John Chandler'],1983,,UOM:39015033278162,,342.0,['Salisbury (England)'],NOT_MATURE,en,0946418004
,,,,,,,,,,0307109704
,"['E. S. Mooney', 'Craig McCracken']",2002,"Frustrated at the success of the Powerpuff Girls in foiling his plans, Mojo Jojo creates the Townsville Villain Academy, which soon enrolls such evil-doers as Fuzzy Lumpkins, Him, Princess Morbucks, and Gary the monster from out of town.",0439332125,9780439332125.0,68.0,['Juvenile Fiction'],NOT_MATURE,en,0439332125
,['Cicely Veronica Wedgwood'],1983,,PSU:000015694232,,510.0,['Great Britain'],NOT_MATURE,en,0140069909
,['Alison Plowden'],2003,"The tragic life of the ""Nine Days Queen"" and her role in Tudor history is fully explored in this exciting, insightful ""royal biography"" of one of the lesser known figures in British history.",STANFORD:36105026573811,,216.0,['Biography & Autobiography'],NOT_MATURE,en,0750928166
,['John Macleod'],1999-01-01,"From the serial husbands of Mary, Queen of Scots, to the eccentric Cardinal with a taste for pretty young men, award-winning writer John Macleod unfolds the complex, calamitous and always entertaining history of a royal family so awful the Scots let England share them too. Never has royal house been so unfortunate. Yet, through the farce and tumult of their years in power, there emerged a new and vigorous religion; a United Kingdom; radical new thoughts and institutions; and the foundations of a modern democracy. The Stuart story is one of intrigue and battle, soap opera and theology, porphyria and homosexuality. From the glories of Robert the Bruce to a Queen so fat she had to be buried in a square coffin, John Macleod unfolds their darkly funny history with detail, anecdote and wit.",0340707666,9780340707661.0,386.0,['Great Britain'],NOT_MATURE,en,0340707666
,"['J. B. Strasser', 'Laurie Becklund']",1991,Reveals how six inexperienced men formed a tight-knit group that conquered the doubts of banks and stock analysts to build their sneaker empire,UOM:49015001337261,,682.0,['Business & Economics'],NOT_MATURE,en,0151874301
,['Antonia Fraser'],1981,"The story of King Charles II is one of enduring fascination. The golden childhood of the boy Prince in the Van Dyck pictures gave way to an adventurous youth in Civil War England and abroad, ending traumatically when his father was executed in 1649. Charles II, King at eighteen, succeeded to 'nothing but the name'. After his valiant attempt to regain the throne was defeated by Cromwell at Worcester, the King made his epic escape - to years of exile, poverty and humiliation in Europe. The 'miraculous' Restoration ushered in a reign coloured by a series of equally dramatic events: the Great Plague, the Fire of London, two Dutch Wars, the bizarre Popish Plot, and finally the efforts of the Whigs to exclude his Catholic brother James from the succession, culminating in the King's unexpected triumph over them at the Oxford Parliament of 1681. A lover of women, passionate planner of parks and palaces and friend of the arts, this was the man who was to overcome the many problems of hi s reign and die not only in control of his country but in the affection of his countrymen. In this meticulously researched biography, Antonia Fraser offers important judgements and reassessments on central q",PSU:000019627083,,524.0,['Great Britain'],NOT_MATURE,en,0708819338
,['Antonia Fraser'],1996,Britain's most popular historian uncovers the truth about Guy Fawkes' plot to blow up the Houses of Parliament.,029781348X,9780297813484.0,347.0,['Catholics'],NOT_MATURE,en,029781348X
